timestamp, temperature_gpu, power_draw_w, power_limit_w, memory_used_mib, memory_free_mib
1641487020158536286, 37, 107, 350, 297, 25149
1641487020160344567, 37, 107, 350, 297, 25149
1641487020162074816, 37, 107, 350, 297, 25149
1641487020163749134, 37, 107, 350, 297, 25149
1641487020165495820, 37, 107, 350, 297, 25149
1641487020167279077, 37, 107, 350, 297, 25149
1641487020169051658, 37, 107, 350, 297, 25149
1641487020170730322, 37, 107, 350, 297, 25149
1641487020172479020, 37, 107, 350, 297, 25149
1641487020174299661, 37, 107, 350, 297, 25149
1641487020175986886, 37, 107, 350, 297, 25149
1641487020177717228, 37, 107, 350, 297, 25149
1641487020179451120, 37, 107, 350, 297, 25149
1641487020181236138, 37, 107, 350, 297, 25149
1641487020183007528, 37, 107, 350, 297, 25149
1641487020184688304, 37, 107, 350, 297, 25149
1641487020186449613, 37, 107, 350, 297, 25149
1641487020188153556, 37, 107, 350, 297, 25149
1641487020189882991, 37, 107, 350, 297, 25149
1641487020191600191, 37, 107, 350, 297, 25149
1641487020193351740, 37, 107, 350, 297, 25149
1641487020195083043, 37, 107, 350, 297, 25149
1641487020196811106, 37, 107, 350, 297, 25149
1641487020198553432, 37, 107, 350, 297, 25149
1641487020200384359, 37, 107, 350, 297, 25149
1641487020202125046, 37, 107, 350, 297, 25149
1641487020203791480, 37, 107, 350, 297, 25149
1641487020205532163, 37, 107, 350, 297, 25149
1641487020207310761, 37, 107, 350, 297, 25149
1641487020209041217, 37, 107, 350, 297, 25149
1641487020210771892, 37, 107, 350, 297, 25149
1641487020212527619, 37, 107, 350, 297, 25149
1641487020214362034, 37, 107, 350, 297, 25149
1641487020216124514, 37, 107, 350, 297, 25149
1641487020217802458, 37, 107, 350, 297, 25149
1641487020219544815, 37, 107, 350, 297, 25149
1641487020221357006, 37, 107, 350, 297, 25149
1641487020223120752, 37, 107, 350, 297, 25149
1641487020224847939, 37, 107, 350, 297, 25149
1641487020226436465, 37, 107, 350, 297, 25149
1641487020228198382, 37, 107, 350, 297, 25149
1641487020229870487, 37, 107, 350, 297, 25149
1641487020231543858, 37, 107, 350, 297, 25149
1641487020233335885, 37, 107, 350, 297, 25149
1641487020235107765, 37, 107, 350, 297, 25149
1641487020236834904, 37, 107, 350, 297, 25149
1641487020238503233, 37, 107, 350, 297, 25149
1641487020240295767, 37, 107, 350, 297, 25149
1641487020242067450, 37, 107, 350, 297, 25149
1641487020243746598, 37, 107, 350, 297, 25149
1641487020245490648, 37, 107, 350, 297, 25149
1641487020247278145, 37, 107, 350, 297, 25149
1641487020248978290, 37, 107, 350, 297, 25149
1641487020250707613, 37, 107, 350, 297, 25149
1641487020252457189, 37, 107, 350, 297, 25149
1641487020254251417, 37, 107, 350, 297, 25149
1641487020255940352, 37, 107, 350, 297, 25149
1641487020257618514, 37, 107, 350, 297, 25149
1641487020259384413, 37, 107, 350, 297, 25149
1641487020261149584, 37, 107, 350, 297, 25149
1641487020262878630, 37, 107, 350, 297, 25149
1641487020264552191, 37, 107, 350, 297, 25149
1641487020266347259, 37, 107, 350, 297, 25149
1641487020268120422, 37, 107, 350, 297, 25149
1641487020269849981, 37, 107, 350, 297, 25149
1641487020271523730, 37, 107, 350, 297, 25149
1641487020273279083, 37, 107, 350, 297, 25149
1641487020275051259, 37, 107, 350, 297, 25149
1641487020276781682, 37, 107, 350, 297, 25149
1641487020278520301, 37, 107, 350, 297, 25149
1641487020280348987, 37, 107, 350, 297, 25149
1641487020282103426, 37, 107, 350, 297, 25149
1641487020283777058, 37, 107, 350, 297, 25149
1641487020285525320, 37, 107, 350, 297, 25149
1641487020287339245, 37, 107, 350, 297, 25149
1641487020289112659, 37, 107, 350, 297, 25149
1641487020290841248, 37, 107, 350, 297, 25149
1641487020292562177, 37, 107, 350, 297, 25149
1641487020294340158, 37, 107, 350, 297, 25149
1641487020296114561, 37, 107, 350, 297, 25149
1641487020297794290, 37, 107, 350, 297, 25149
1641487020299546149, 37, 107, 350, 297, 25149
1641487020301337946, 37, 107, 350, 297, 25149
1641487020303116043, 37, 107, 350, 297, 25149
1641487020304845863, 37, 107, 350, 297, 25149
1641487020306571568, 37, 107, 350, 297, 25149
1641487020308400290, 37, 107, 350, 297, 25149
1641487020310167886, 37, 107, 350, 297, 25149
1641487020311896169, 37, 107, 350, 297, 25149
1641487020313550543, 37, 107, 350, 297, 25149
1641487020315293866, 37, 107, 350, 297, 25149
1641487020317066356, 37, 107, 350, 297, 25149
1641487020318736439, 37, 107, 350, 297, 25149
1641487020320493914, 37, 107, 350, 297, 25149
1641487020322321713, 37, 107, 350, 297, 25149
1641487020324094599, 37, 107, 350, 297, 25149
1641487020325772134, 37, 107, 350, 297, 25149
1641487020327525851, 37, 107, 350, 297, 25149
1641487020329358002, 37, 107, 350, 297, 25149
1641487020331122826, 37, 107, 350, 297, 25149
1641487020332805250, 37, 107, 350, 297, 25149
1641487020334532077, 37, 107, 350, 297, 25149
1641487020336313947, 37, 107, 350, 297, 25149
1641487020338088731, 37, 107, 350, 297, 25149
1641487020339772755, 37, 107, 350, 297, 25149
1641487020341527532, 37, 107, 350, 297, 25149
1641487020343344417, 37, 107, 350, 297, 25149
1641487020345118844, 37, 107, 350, 297, 25149
1641487020346849123, 37, 107, 350, 297, 25149
1641487020348566076, 37, 107, 350, 297, 25149
1641487020350317375, 37, 107, 350, 297, 25149
1641487020352050068, 37, 107, 350, 297, 25149
1641487020353725773, 37, 107, 350, 297, 25149
1641487020355460642, 37, 107, 350, 297, 25149
1641487020357227863, 37, 107, 350, 297, 25149
1641487020359002083, 37, 107, 350, 297, 25149
1641487020360682300, 37, 107, 350, 297, 25149
1641487020362455371, 37, 107, 350, 297, 25149
1641487020364279996, 37, 107, 350, 297, 25149
1641487020366050572, 37, 107, 350, 297, 25149
1641487020367722660, 37, 107, 350, 297, 25149
1641487020369465946, 37, 107, 350, 297, 25149
1641487020371287618, 37, 107, 350, 297, 25149
1641487020372971639, 37, 107, 350, 297, 25149
1641487020374647297, 37, 107, 350, 297, 25149
1641487020376381944, 37, 107, 350, 297, 25149
1641487020378100770, 37, 107, 350, 297, 25149
1641487020379827045, 37, 107, 350, 297, 25149
1641487020381541674, 37, 107, 350, 297, 25149
1641487020383327839, 37, 107, 350, 297, 25149
1641487020385069068, 37, 107, 350, 297, 25149
1641487020386795308, 37, 107, 350, 297, 25149
1641487020388549353, 37, 107, 350, 297, 25149
1641487020390384491, 37, 107, 350, 297, 25149
1641487020392145355, 37, 107, 350, 297, 25149
1641487020393871104, 37, 107, 350, 297, 25149
1641487020395585457, 37, 107, 350, 297, 25149
1641487020397328759, 37, 107, 350, 297, 25149
1641487020399056003, 37, 107, 350, 297, 25149
1641487020400734930, 37, 107, 350, 297, 25149
1641487020402478304, 37, 107, 350, 297, 25149
1641487020404304482, 37, 107, 350, 297, 25149
1641487020406073645, 37, 107, 350, 297, 25149
1641487020407798671, 37, 107, 350, 297, 25149
1641487020409559900, 37, 107, 350, 297, 25149
1641487020411390582, 37, 107, 350, 297, 25149
1641487020413114634, 37, 107, 350, 297, 25149
1641487020414843531, 37, 107, 350, 297, 25149
1641487020416557040, 37, 107, 350, 297, 25149
1641487020418288969, 37, 107, 350, 297, 25149
1641487020420057589, 37, 107, 350, 297, 25149
1641487020421785255, 37, 107, 350, 297, 25149
1641487020423514725, 37, 107, 350, 297, 25149
1641487020425341532, 37, 107, 350, 297, 25149
1641487020427068578, 37, 107, 350, 297, 25149
1641487020428794801, 37, 107, 350, 297, 25149
1641487020430542437, 37, 107, 350, 297, 25149
1641487020432328878, 37, 107, 350, 297, 25149
1641487020434097875, 37, 107, 350, 297, 25149
