timestamp, temperature_gpu, power_draw_w, power_limit_w, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
1642433550235215827, 38, 115, 350,1695,9501,1695
1642433550239225186, 38, 115, 350,1695,9501,1695
1642433550243545552, 38, 115, 350,1695,9501,1695
1642433550246428611, 38, 115, 350,1695,9501,1695
1642433550248778080, 38, 115, 350,1695,9501,1695
1642433550251106103, 38, 115, 350,1695,9501,1695
1642433550253431036, 38, 115, 350,1695,9501,1695
1642433550255750283, 38, 115, 350,1695,9501,1695
1642433550259019851, 38, 115, 350,1695,9501,1695
1642433550263216553, 38, 115, 350,1695,9501,1695
1642433550266722269, 38, 115, 350,1695,9501,1695
1642433550269090640, 38, 115, 350,1695,9501,1695
1642433550271416075, 38, 115, 350,1695,9501,1695
1642433550273743893, 38, 115, 350,1695,9501,1695
1642433550276063280, 38, 115, 350,1695,9501,1695
1642433550278387153, 38, 115, 350,1695,9501,1695
1642433550282533004, 38, 115, 350,1695,9501,1695
1642433550286845673, 38, 115, 350,1695,9501,1695
1642433550289626789, 38, 115, 350,1695,9501,1695
1642433550291938833, 38, 115, 350,1695,9501,1695
1642433550294247333, 38, 115, 350,1695,9501,1695
1642433550296560361, 38, 115, 350,1695,9501,1695
1642433550298864953, 38, 115, 350,1695,9501,1695
1642433550302452293, 38, 115, 350,1695,9501,1695
1642433550306647392, 38, 115, 350,1695,9501,1695
1642433550310232164, 38, 115, 350,1695,9501,1695
1642433550313104742, 38, 115, 350,1695,9501,1695
1642433550315405777, 38, 115, 350,1695,9501,1695
1642433550317877813, 38, 115, 350,1695,9501,1695
1642433550320603767, 38, 115, 350,1695,9501,1695
1642433550324294748, 38, 115, 350,1695,9501,1695
1642433550328867882, 38, 115, 350,1695,9501,1695
1642433550332460233, 38, 115, 350,1695,9501,1695
1642433550334770027, 38, 115, 350,1695,9501,1695
1642433550337083857, 38, 115, 350,1695,9501,1695
1642433550339397346, 38, 115, 350,1695,9501,1695
1642433550341630469, 38, 115, 350,1695,9501,1695
1642433550344975800, 38, 115, 350,1695,9501,1695
