timestep, temperature_gpu, type, power_draw_w, power_limit_w, g_clock_freq_mhz, mem_clock_freq_mhz, sm_clock_freq_mhz
346, 37, shfl_nested, 113, 350,1695,9501,1695
347, 37, shfl_nested, 113, 350,1695,9501,1695
348, 37, shfl_nested, 113, 350,1695,9501,1695
349, 37, shfl_nested, 113, 350,1695,9501,1695
350, 37, shfl_nested, 113, 350,1695,9501,1695
351, 37, shfl_nested, 113, 350,1695,9501,1695
352, 37, shfl_nested, 113, 350,1695,9501,1695
353, 37, shfl_nested, 113, 350,1695,9501,1695
354, 37, shfl_nested, 113, 350,1695,9501,1695
355, 37, shfl_nested, 113, 350,1695,9501,1695
356, 37, shfl_nested, 113, 350,1695,9501,1695
357, 37, shfl_nested, 113, 350,1695,9501,1695
358, 37, shfl_nested, 113, 350,1695,9501,1695
359, 37, shfl_nested, 113, 350,1695,9501,1695
360, 37, shfl_nested, 113, 350,1695,9501,1695
361, 37, shfl_nested, 113, 350,1695,9501,1695
362, 37, shfl_nested, 113, 350,1695,9501,1695
363, 37, shfl_nested, 113, 350,1695,9501,1695
364, 37, shfl_nested, 113, 350,1695,9501,1695
365, 37, shfl_nested, 113, 350,1695,9501,1695
366, 37, shfl_nested, 113, 350,1695,9501,1695
367, 37, shfl_nested, 113, 350,1695,9501,1695
368, 37, shfl_nested, 113, 350,1695,9501,1695
369, 37, shfl_nested, 113, 350,1695,9501,1695
370, 37, shfl_nested, 113, 350,1695,9501,1695
371, 37, shfl_nested, 114, 350,1695,9501,1695
372, 37, shfl_nested, 114, 350,1695,9501,1695
373, 37, shfl_nested, 114, 350,1695,9501,1695
374, 37, shfl_nested, 114, 350,1695,9501,1695
375, 37, shfl_nested, 114, 350,1695,9501,1695
376, 37, shfl_nested, 114, 350,1695,9501,1695
377, 37, shfl_nested, 114, 350,1695,9501,1695
378, 37, shfl_nested, 114, 350,1695,9501,1695
379, 37, shfl_nested, 114, 350,1695,9501,1695
380, 37, shfl_nested, 114, 350,1695,9501,1695
381, 37, shfl_nested, 114, 350,1695,9501,1695
382, 37, shfl_nested, 114, 350,1695,9501,1695
383, 37, shfl_nested, 114, 350,1695,9501,1695
384, 37, shfl_nested, 114, 350,1695,9501,1695
385, 37, shfl_nested, 114, 350,1695,9501,1695
386, 37, shfl_nested, 114, 350,1695,9501,1695
387, 37, shfl_nested, 114, 350,1695,9501,1695
388, 37, shfl_nested, 114, 350,1695,9501,1695
389, 37, shfl_nested, 114, 350,1695,9501,1695
390, 37, shfl_nested, 114, 350,1695,9501,1695
391, 37, shfl_nested, 114, 350,1695,9501,1695
392, 37, shfl_nested, 114, 350,1695,9501,1695
393, 37, shfl_nested, 114, 350,1695,9501,1695
394, 37, shfl_nested, 114, 350,1695,9501,1695
395, 37, shfl_nested, 114, 350,1695,9501,1695
